1;12
2;23
3;25
4;32
5;32
6;32
7;33
8;9
9;5
10;5
11;3
12;2
13;9
14;9
15;6
16;35
17;24
18;24
19;1
20;22
21;27
22;26
23;26
24;21
25;9
26;18
27;1
28;31
29;6
30;15
31;4
32;28
32;29
33;10
34;9
35;8
36;9
37;9
38;14
39;4
40;16
41;7
42;19
42;18
43;17
44;7
45;32
46;32
47;20
48;32
50;13
51;13
52;2
53;2
54;2
55;13
56;11
57;11
58;18
59;18
60;18
61;31
62;1
63;30
64;18
65;18
66;18
67;34
68;15
69;15
70;4
71;27
72;9
73;22
74;1
75;13
76;9
