ABW;SP.DYN.CBRT.IN
ABW;SP.DYN.CDRT.IN
ABW;SP.DYN.LE00.FE.IN
ABW;SP.DYN.LE00.IN
ABW;SP.DYN.LE00.MA.IN
ABW;SP.DYN.TFRT.IN
ABW;SP.POP.0014.TO.ZS
ABW;SP.POP.1564.TO.ZS
ABW;SP.POP.65UP.TO.ZS
ABW;SP.POP.DPND
ABW;SP.POP.DPND.OL
ABW;SP.POP.DPND.YG
ABW;SP.POP.GROW
ABW;SP.POP.TOTL
ABW;SP.POP.TOTL.FE.ZS
AFG;SH.DYN.MORT
AFG;SH.MED.BEDS.ZS
AFG;SH.MED.PHYS.ZS
AFG;SP.DYN.CBRT.IN
AFG;SP.DYN.CDRT.IN
AFG;SP.DYN.CONU.ZS
AFG;SP.DYN.IMRT.IN
AFG;SP.DYN.LE00.FE.IN
AFG;SP.DYN.LE00.IN
AFG;SP.DYN.LE00.MA.IN
AFG;SP.DYN.TFRT.IN
AFG;SP.POP.0014.TO.ZS
AFG;SP.POP.1564.TO.ZS
AFG;SP.POP.65UP.TO.ZS
AFG;SP.POP.DPND
AFG;SP.POP.DPND.OL
AFG;SP.POP.DPND.YG
AFG;SP.POP.GROW
AFG;SP.POP.TOTL
AFG;SP.POP.TOTL.FE.ZS
AGO;SH.MED.BEDS.ZS
AGO;SH.MED.PHYS.ZS
AGO;SP.DYN.AMRT.FE
AGO;SP.DYN.AMRT.MA
AGO;SP.DYN.CBRT.IN
AGO;SP.DYN.CDRT.IN
AGO;SP.DYN.LE00.FE.IN
AGO;SP.DYN.LE00.IN
AGO;SP.DYN.LE00.MA.IN
AGO;SP.DYN.TFRT.IN
AGO;SP.POP.0014.TO.ZS
AGO;SP.POP.1564.TO.ZS
AGO;SP.POP.65UP.TO.ZS
AGO;SP.POP.DPND
AGO;SP.POP.DPND.OL
AGO;SP.POP.DPND.YG
AGO;SP.POP.GROW
AGO;SP.POP.TOTL
AGO;SP.POP.TOTL.FE.ZS
ALB;SH.MED.BEDS.ZS
ALB;SH.MED.PHYS.ZS
ALB;SP.DYN.AMRT.FE
ALB;SP.DYN.AMRT.MA
ALB;SP.DYN.CBRT.IN
ALB;SP.DYN.CDRT.IN
ALB;SP.DYN.LE00.FE.IN
ALB;SP.DYN.LE00.IN
ALB;SP.DYN.LE00.MA.IN
ALB;SP.DYN.TFRT.IN
ALB;SP.POP.0014.TO.ZS
ALB;SP.POP.1564.TO.ZS
ALB;SP.POP.65UP.TO.ZS
ALB;SP.POP.DPND
ALB;SP.POP.DPND.OL
ALB;SP.POP.DPND.YG
ALB;SP.POP.GROW
ALB;SP.POP.TOTL
ALB;SP.POP.TOTL.FE.ZS
AND;SP.POP.GROW
AND;SP.POP.TOTL
ARB;SH.DYN.MORT
ARB;SH.MED.BEDS.ZS
ARB;SH.MED.PHYS.ZS
ARB;SP.DYN.AMRT.FE
ARB;SP.DYN.AMRT.MA
ARB;SP.DYN.CBRT.IN
ARB;SP.DYN.CDRT.IN
ARB;SP.DYN.IMRT.IN
ARB;SP.DYN.LE00.FE.IN
ARB;SP.DYN.LE00.IN
ARB;SP.DYN.LE00.MA.IN
ARB;SP.DYN.TFRT.IN
ARB;SP.POP.0014.TO.ZS
ARB;SP.POP.1564.TO.ZS
ARB;SP.POP.65UP.TO.ZS
ARB;SP.POP.DPND
ARB;SP.POP.DPND.OL
ARB;SP.POP.DPND.YG
ARB;SP.POP.GROW
ARB;SP.POP.TOTL
ARB;SP.POP.TOTL.FE.ZS
ARE;SH.DYN.MORT
ARE;SH.MED.PHYS.ZS
ARE;SP.DYN.AMRT.FE
ARE;SP.DYN.AMRT.MA
ARE;SP.DYN.CBRT.IN
ARE;SP.DYN.CDRT.IN
ARE;SP.DYN.IMRT.IN
ARE;SP.DYN.LE00.FE.IN
ARE;SP.DYN.LE00.IN
ARE;SP.DYN.LE00.MA.IN
ARE;SP.DYN.TFRT.IN
ARE;SP.POP.0014.TO.ZS
ARE;SP.POP.1564.TO.ZS
ARE;SP.POP.65UP.TO.ZS
ARE;SP.POP.DPND
ARE;SP.POP.DPND.OL
ARE;SP.POP.DPND.YG
ARE;SP.POP.GROW
ARE;SP.POP.TOTL
ARE;SP.POP.TOTL.FE.ZS
ARG;SH.DYN.MORT
ARG;SH.MED.BEDS.ZS
ARG;SH.MED.PHYS.ZS
ARG;SP.DYN.AMRT.FE
ARG;SP.DYN.AMRT.MA
ARG;SP.DYN.CBRT.IN
ARG;SP.DYN.CDRT.IN
ARG;SP.DYN.IMRT.IN
ARG;SP.DYN.LE00.FE.IN
ARG;SP.DYN.LE00.IN
ARG;SP.DYN.LE00.MA.IN
ARG;SP.DYN.TFRT.IN
ARG;SP.POP.0014.TO.ZS
ARG;SP.POP.1564.TO.ZS
ARG;SP.POP.65UP.TO.ZS
ARG;SP.POP.DPND
ARG;SP.POP.DPND.OL
ARG;SP.POP.DPND.YG
ARG;SP.POP.GROW
ARG;SP.POP.TOTL
ARG;SP.POP.TOTL.FE.ZS
ARM;SH.DYN.MORT
ARM;SP.DYN.AMRT.FE
ARM;SP.DYN.AMRT.MA
ARM;SP.DYN.CBRT.IN
ARM;SP.DYN.CDRT.IN
ARM;SP.DYN.IMRT.IN
ARM;SP.DYN.LE00.FE.IN
ARM;SP.DYN.LE00.IN
ARM;SP.DYN.LE00.MA.IN
ARM;SP.DYN.TFRT.IN
ARM;SP.POP.0014.TO.ZS
ARM;SP.POP.1564.TO.ZS
ARM;SP.POP.65UP.TO.ZS
ARM;SP.POP.DPND
ARM;SP.POP.DPND.OL
ARM;SP.POP.DPND.YG
ARM;SP.POP.GROW
ARM;SP.POP.TOTL
ARM;SP.POP.TOTL.FE.ZS
ASM;SP.POP.GROW
ASM;SP.POP.TOTL
ATG;SH.MED.BEDS.ZS
ATG;SH.MED.PHYS.ZS
ATG;SP.DYN.CBRT.IN
ATG;SP.DYN.CDRT.IN
ATG;SP.DYN.LE00.FE.IN
ATG;SP.DYN.LE00.IN
ATG;SP.DYN.LE00.MA.IN
ATG;SP.DYN.TFRT.IN
ATG;SP.POP.GROW
ATG;SP.POP.TOTL
AUS;SH.DYN.MORT
AUS;SH.MED.BEDS.ZS
AUS;SH.MED.PHYS.ZS
AUS;SH.VST.OUTP
AUS;SP.DYN.AMRT.FE
AUS;SP.DYN.AMRT.MA
AUS;SP.DYN.CBRT.IN
AUS;SP.DYN.CDRT.IN
AUS;SP.DYN.IMRT.IN
AUS;SP.DYN.LE00.FE.IN
AUS;SP.DYN.LE00.IN
AUS;SP.DYN.LE00.MA.IN
AUS;SP.DYN.TFRT.IN
AUS;SP.POP.0014.TO.ZS
AUS;SP.POP.1564.TO.ZS
AUS;SP.POP.65UP.TO.ZS
AUS;SP.POP.DPND
AUS;SP.POP.DPND.OL
AUS;SP.POP.DPND.YG
AUS;SP.POP.GROW
AUS;SP.POP.TOTL
AUS;SP.POP.TOTL.FE.ZS
AUT;SH.DYN.MORT
AUT;SH.MED.BEDS.ZS
AUT;SH.MED.PHYS.ZS
AUT;SH.STA.BRTW.ZS
AUT;SH.VST.OUTP
AUT;SP.DYN.AMRT.FE
AUT;SP.DYN.AMRT.MA
AUT;SP.DYN.CBRT.IN
AUT;SP.DYN.CDRT.IN
AUT;SP.DYN.IMRT.IN
AUT;SP.DYN.LE00.FE.IN
AUT;SP.DYN.LE00.IN
AUT;SP.DYN.LE00.MA.IN
AUT;SP.DYN.TFRT.IN
AUT;SP.POP.0014.TO.ZS
AUT;SP.POP.1564.TO.ZS
AUT;SP.POP.65UP.TO.ZS
AUT;SP.POP.DPND
AUT;SP.POP.DPND.OL
AUT;SP.POP.DPND.YG
AUT;SP.POP.GROW
AUT;SP.POP.TOTL
AUT;SP.POP.TOTL.FE.ZS
AZE;SP.DYN.AMRT.FE
AZE;SP.DYN.AMRT.MA
AZE;SP.DYN.CBRT.IN
AZE;SP.DYN.CDRT.IN
AZE;SP.DYN.LE00.FE.IN
AZE;SP.DYN.LE00.IN
AZE;SP.DYN.LE00.MA.IN
AZE;SP.DYN.TFRT.IN
AZE;SP.POP.0014.TO.ZS
AZE;SP.POP.1564.TO.ZS
AZE;SP.POP.65UP.TO.ZS
AZE;SP.POP.DPND
AZE;SP.POP.DPND.OL
AZE;SP.POP.DPND.YG
AZE;SP.POP.GROW
AZE;SP.POP.TOTL
AZE;SP.POP.TOTL.FE.ZS
BDI;SH.DYN.MORT
BDI;SH.MED.BEDS.ZS
BDI;SH.MED.PHYS.ZS
BDI;SP.DYN.AMRT.FE
BDI;SP.DYN.AMRT.MA
BDI;SP.DYN.CBRT.IN
BDI;SP.DYN.CDRT.IN
BDI;SP.DYN.IMRT.IN
BDI;SP.DYN.LE00.FE.IN
BDI;SP.DYN.LE00.IN
BDI;SP.DYN.LE00.MA.IN
BDI;SP.DYN.TFRT.IN
BDI;SP.POP.0014.TO.ZS
BDI;SP.POP.1564.TO.ZS
BDI;SP.POP.65UP.TO.ZS
BDI;SP.POP.DPND
BDI;SP.POP.DPND.OL
BDI;SP.POP.DPND.YG
BDI;SP.POP.GROW
BDI;SP.POP.TOTL
BDI;SP.POP.TOTL.FE.ZS
